;artist;genre
212;Zeca Baleiro;['bossa nova', 'brazilian rock', 'forro', 'mpb', 'rock gaucho', 'samba']
213;Eddie Cano;['space age pop']
214;Simply Red;['dance rock', 'disco', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']
215;Phil Collins;['mellow gold', 'soft rock']
216;Lynn August;['zydeco']
217;New Found Glory;['easycore', 'emo', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'skate punk']
218;The Abominable Iron Sloth;['sludge metal']
219;Pyrolator;['neue deutsche welle']
220;Barrio Obrero;['classic venezuelan pop']
221;Todos;['argentine punk', 'argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']
222;Martin Lawrence;['comedy']
223;Danny Williams;['merseybeat']
224;Rocky Hill;['texas blues']
225;Nick Jonas & The Administration;['post-teen pop']
226;Orchids;['c86', 'twee pop']
227;Jean Corti;['accordion']
228;Blackbyrds;['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul', 'soul jazz']
229;Webb Wilder;['pub rock', 'rockabilly', 'roots rock']
230;Dean Elliott And His Big Band;['exotica', 'lounge']
231;Fajardo;['huayno']
232;Os Gaiteiros de Soutelo;['galego', 'galician folk', 'spanish folk']
233;Dexys Midnight Runners;['bow pop', 'dance rock', 'new romantic']
234;NewFound Road;['banjo', 'bluegrass', 'progressive bluegrass']
235;George Huff;['gospel']
236;Spitfire;['russian punk']
237;Gregory Isaacs;['brazilian reggae', 'dancehall', 'dub', 'lovers rock', 'reggae', 'roots reggae']
238;Ray Davies;['pub rock', 'roots rock']
239;MxPx;['christian punk', 'emo', 'pop punk', 'punk', 'ska punk', 'skate punk']
240;Kati;['baroque violin']
241;Dario Marianelli;['compositional ambient', 'scorecore', 'soundtrack', 'video game music']
242;The Cat's Miaow;['c86', 'twee pop']
243;Memphis Minnie;['acoustic blues', 'blues', 'country blues', 'memphis blues', 'traditional blues']
244;Lennie Tristano;['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano']
245;Lost Boyz;['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap']
246;Richard Souther;['new age']
247;Seguridad Social;['rock en espanol', 'spanish new wave', 'spanish pop']
248;Jill Paquette;['canadian ccm', 'german ccm']
249;UFO;['album rock', 'blues-rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock', 'southern rock']
250;Dropkick Murphys;['boston rock', 'celtic punk', 'celtic rock', 'punk', 'skate punk']
251;Hushabye Baby;"[""children's music""]"
252;The Birds;['deep new americana', 'new americana', 'progressive bluegrass']
253;Rise Against;['alternative metal', 'hardcore punk', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rap metal']
254;Dionne Warwick;['adult standards', 'brill building pop', 'christmas', 'disco', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']
255;X;['modern alternative rock', 'modern rock', 'pop', 'stomp pop']
256;The Jets;['freestyle', 'new jack swing', 'new wave pop', 'quiet storm', 'urban contemporary']
257;Cherish The Ladies;['celtic', 'irish folk']
258;Harry Gregson-Williams;['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music']
259;A Perfect Murder;['canadian metal', 'groove metal']
260;The Dylans;['britpop', 'madchester']
261;Izzy;['neo soul']
262;The Knightsbridge Strings;['light music']
263;Eastmountainsouth;['acoustic pop']
264;Soilwork;['alternative metal', 'groove metal', 'indonesian metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']
265;Bruisers;['oi']
266;Arthur Brown;['psychedelic rock']
267;Gerard Lenorman;['chanson']
268;Toots Thielemans;['bossa nova', 'cool jazz', 'gypsy jazz']
269;Charanga de la 4;['salsa international']
270;Owsley;['jangle pop', 'power pop', 'underground power pop']
271;Leo Ku;['c-pop', 'cantopop', 'classic cantopop', 'mandopop']
272;Aceyalone;['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']
273;False Prophets;['crossover thrash', 'hardcore punk']
274;Christos Dantis;['entehno', 'laiko']
275;Captain Hollywood Project;['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']
276;Perfection;['aggrotech', 'dark wave', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal', 'industrial rock', 'neue deutsche harte']
277;Claudio;['electropop', 'indie r&b', 'pop', 'r&b']
278;Liam O'Flynn;['celtic', 'irish folk', 'uilleann pipes']
279;Candlebox;['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock']
280;Midwest Product;['michigan indie']
281;Salieri;['classical era', 'early music']
282;Test Icicles;['dance-punk', 'new rave']
283;Ultraviolence;['hardcore techno']
284;Terry Callier;['jazz funk']
